YEAR,Labor Force (000's),Employment (000's),Emp/Pop (%),Unemployed (000's),Unemp Rate (%),LFPART (%),,
Jan-12,3997.85,3617.028,54.3,380.822,9.5,60.0033,,
Feb-12,4000.423,3618.134,54.3,382.289,9.6,59.9957,,
Mar-12,4004.593,3620.502,54.3,384.091,9.6,60.0089,,
Apr-12,4009.178,3623.612,54.3,385.566,9.6,60.0266,,
May-12,4014.061,3628.211,54.3,385.85,9.6,60.0505,,
Jun-12,4018.648,3634.283,54.3,384.365,9.6,60.0706,,
Jul-12,4022.788,3641.679,54.4,381.109,9.5,60.0834,,
Aug-12,4027.658,3650.267,54.5,377.391,9.4,60.123,,
Sep-12,4034.092,3659.522,54.6,374.57,9.3,60.1858,,
Oct-12,4040.062,3667.327,54.7,372.735,9.2,60.2415,,
Nov-12,4044.055,3672.533,54.7,371.522,9.2,60.2703,,
Dec-12,4045.919,3675.466,54.7,370.453,9.2,60.2649,,
Jan-13,4045.886,3676.776,54.7,369.11,9.1,60.2288,,
Feb-13,4045.599,3678.376,54.7,367.223,9.1,60.1952,,
Mar-13,4047.4,3682.548,54.8,364.852,9,60.19,,
Apr-13,4052.849,3690.072,54.8,362.777,9,60.2367,,
May-13,4060.929,3698.921,54.9,362.008,8.9,60.3249,,
Jun-13,4070.29,3707.583,55,362.707,8.9,60.4319,,
Jul-13,4078.252,3714.662,55.1,363.59,8.9,60.5181,,
Aug-13,4081.804,3719.839,55.2,361.965,8.9,60.5429,,
Sep-13,4081.018,3724.442,55.2,356.576,8.7,60.5035,,
Oct-13,4079.036,3730.124,55.3,348.912,8.6,60.4461,,
Nov-13,4078.203,3737.594,55.4,340.609,8.4,60.4085,,
Dec-13,4078.585,3745.978,55.5,332.607,8.2,60.3864,,
Jan-14,4080.57,3755.435,55.6,325.135,8,60.3855,,
Feb-14,4083.624,3765.329,55.7,318.295,7.8,60.4065,,
Mar-14,4086.615,3774.372,55.8,312.243,7.6,60.4242,,
Apr-14,4088.313,3782.023,55.9,306.29,7.5,60.4203,,
May-14,4088.604,3789.417,56,299.187,7.3,60.3984,,
Jun-14,4088.525,3797.541,56.1,290.984,7.1,60.3706,,
Jul-14,4089.108,3806.182,56.2,282.926,6.9,60.3527,,
Aug-14,4091.325,3815.153,56.3,276.172,6.8,60.366,,
Sep-14,4094.623,3823.55,56.4,271.073,6.6,60.3949,,
Oct-14,4097.501,3830.84,56.5,266.661,6.5,60.4181,,
Nov-14,4099.323,3836.889,56.6,262.434,6.4,60.4277,,
Dec-14,4101.133,3842.353,56.6,258.78,6.3,60.4349,,
Jan-15,4102.656,3847.113,56.7,255.543,6.2,60.4352,,
Feb-15,4103.202,3851.046,56.7,252.156,6.1,60.4274,,
Mar-15,4103.094,3855.298,56.8,247.796,6,60.4076,,
Apr-15,4101.681,3859.543,56.8,242.138,5.9,60.3661,,
May-15,4097.794,3862.609,56.8,235.185,5.7,60.2907,,
Jun-15,4091.095,3863.788,56.8,227.307,5.6,60.1738,,
Jul-15,4083.676,3863.955,56.8,219.721,5.4,60.0466,,
Aug-15,4077.619,3863.668,56.8,213.951,5.2,59.9479,,
Sep-15,4074.208,3863.725,56.8,210.483,5.2,59.8882,,
Oct-15,4074.608,3865.04,56.8,209.568,5.1,59.8844,,
Nov-15,4078.186,3867.407,56.8,210.779,5.2,59.9298,,
Dec-15,4082.04,3869.753,56.9,212.287,5.2,59.9767,,
Jan-16,4083.88,3871.169,56.9,212.711,5.2,59.9918,,
Feb-16,4082.937,3871.026,56.9,211.911,5.2,59.9722,,
Mar-16,4079.641,3869.32,56.8,210.321,5.2,59.9154,,
Apr-16,4076.666,3867.577,56.8,209.089,5.1,59.8609,,
May-16,4076.588,3867.127,56.8,209.461,5.1,59.8512,,
Jun-16,4079.683,3868.262,56.8,211.421,5.2,59.8883,,
Jul-16,4084.913,3871.19,56.8,213.723,5.2,59.9567,,
Aug-16,4091.011,3875.96,56.9,215.051,5.3,60.058,,
Sep-16,4096.603,3881.935,57,214.668,5.2,60.1522,,
Oct-16,4100.45,3888.678,57.1,211.772,5.2,60.2206,,
Nov-16,4102.813,3896.596,57.2,206.217,5,60.2696,,
Dec-16,4105.25,3905.682,57.4,199.568,4.9,60.3175,,
Jan-17,4277.572,4076.849,57.6,200.723,4.7,60.4158,,
Feb-17,4285.301,4088.992,57.7,196.309,4.6,60.5113,,
Mar-17,4293.803,4099.667,57.9,194.136,4.5,60.6155,,
Apr-17,4301.819,4107.72,58,194.099,4.5,60.7101,,
May-17,4308.587,4113.325,58,195.262,4.5,60.7898,,
Jun-17,4313.385,4116.887,58.1,196.498,4.6,60.8414,,
Jul-17,4314.9,4117.855,58.1,197.045,4.6,60.8468,,
Aug-17,4312.352,4115.981,58,196.371,4.6,60.7992,,
Sep-17,4306.645,4112.266,58,194.379,4.5,60.7069,,
Oct-17,4299.268,4107.804,57.9,191.464,4.5,60.5911,,
Nov-17,4291.736,4103.231,57.8,188.505,4.4,60.4756,,
Dec-17,4285.758,4100.31,57.8,185.448,4.3,60.3798,,
Jan-18,4272.594,4088.835,57.6,183.759,4.3,60.1804,,
Feb-18,4271.328,4089.884,57.6,181.444,4.2,60.1545,,
Mar-18,4271.935,4092.876,57.6,179.059,4.2,60.1526,,
Apr-18,4271.853,4095.568,57.7,176.285,4.1,60.1386,,
May-18,4268.705,4095.441,57.6,173.264,4.1,60.0839,,
Jun-18,4262.878,4092.322,57.6,170.556,4,59.9913,,
Jul-18,4256.544,4087.579,57.5,168.965,4,59.8918,,
Aug-18,4252.479,4083.074,57.4,169.405,4,59.8297,,
Sep-18,4251.429,4079.051,57.4,172.378,4.1,59.8102,,
Oct-18,4253.352,4076.414,57.3,176.938,4.2,59.8321,,
Nov-18,4257.637,4076.525,57.3,181.112,4.3,59.8899,,
Dec-18,4262.8,4079.204,57.4,183.596,4.3,59.9576,,
Jan-19,4260.806,4076.49,57.3,184.316,4.3,59.9222,,
Feb-19,4262.017,4080.21,57.4,181.807,4.3,59.9378,,
Mar-19,4261.007,4083.793,57.4,177.214,4.2,59.9196,,
Apr-19,4258.877,4087.348,57.5,171.529,4,59.8838,,
May-19,4257.338,4091.057,57.5,166.281,3.9,59.8583,,
Jun-19,4256.981,4094.066,57.6,162.915,3.8,59.8498,,
Jul-19,4257.462,4095.817,57.6,161.645,3.8,59.8525,,
Aug-19,4258.32,4096.743,57.6,161.577,3.8,59.8807,,
Sep-19,4261.064,4099.849,57.7,161.215,3.8,59.9356,,
Oct-19,4266.064,4104.431,57.7,161.633,3.8,60.0223,,
Nov-19,4272.175,4107.901,57.8,164.274,3.8,60.1267,,
Dec-19,4276.539,4107.169,57.8,169.37,4,60.2045,,
Jan-20,4276.591,4100.45,57.7,176.141,4.1,60.219,,
Feb-20,4271.523,4087.235,57.6,184.288,4.3,60.1674,,
Mar-20,4263.971,4071.266,57.4,192.705,4.5,60.0785,,
Apr-20,3715.243,3243.82,45.6,471.423,12.7,52.1814,,
May-20,3933.914,3087.684,43.4,846.23,21.5,55.3571,,
Jun-20,4057.261,3358.415,47.3,698.846,17.2,57.2012,,
Jul-20,4079.773,3405.331,48.1,674.442,16.5,57.6278,,
Aug-20,4042.787,3443.228,48.8,599.559,14.8,57.2499,,
Sep-20,4065.324,3483.617,49.5,581.707,14.3,57.7153,,
Oct-20,4045.042,3510.794,50,534.248,13.2,57.5734,,
Nov-20,4061.689,3536.644,50.5,525.045,12.9,57.96,,
Dec-20,4070.153,3556.813,50.9,513.34,12.6,58.2293,,
Jan-21,4075.053,3573.19,51.2,501.863,12.3,58.4468,,
Feb-21,4078.709,3589.971,51.6,488.738,12,58.6532,,
Mar-21,4080.812,3610.523,52.1,470.289,11.5,58.8358,,
Apr-21,4090.94,3632.829,52.5,458.111,11.2,59.133,,
May-21,4083.917,3654.819,53,429.098,10.5,59.1856,,
Jun-21,4113.756,3676.017,53.4,437.739,10.6,59.7742,,
Jul-21,4100.73,3692.518,53.8,408.212,10,59.7412,,
Aug-21,4104.382,3708.2,54.1,396.182,9.7,59.8498,,
Sep-21,4084.699,3723.099,54.3,361.6,8.9,59.6179,,
Oct-21,4088.272,3741.692,54.7,346.58,8.5,59.7254,,
Nov-21,4090.429,3760.07,55,330.359,8.1,59.8149,,
Dec-21,4110.179,3779.003,55.3,331.176,8.1,60.1595,,
Jan-22,4113.383,3797.148,55.6,316.235,7.7,60.2599,,
Feb-22,4101.828,3815.17,55.9,286.658,7,60.1502,,
Mar-22,4092.935,3830.763,56.2,262.172,6.4,60.077,,
Apr-22,4094.931,3846.111,56.5,248.82,6.1,60.1613,,
May-22,4091.335,3858.185,56.7,233.15,5.7,60.1658,,
Jun-22,4090,3868.551,56.9,221.449,5.4,60.2033,,
Jul-22,4079.549,3875.745,57.1,203.804,5,60.107,,
Aug-22,4065.749,3880.085,57.2,185.664,4.6,59.9301,,
Sep-22,4083.115,3882.982,57.3,200.133,4.9,60.2124,,
Oct-22,4098.929,3887.693,57.4,211.236,5.2,60.4721,,
Nov-22,4113.492,3895.216,57.5,218.276,5.3,60.7161,,
Dec-22,4125.227,3903.9,57.6,221.327,5.4,60.9162,,
Jan-23,4135.861,3914.307,57.8,221.554,5.4,61.0978,,
Feb-23,4145.106,3925.434,58,219.672,5.3,61.2648,,
Mar-23,4151.907,3935.833,58.2,216.074,5.2,61.3938,,
Apr-23,4156.021,3944.168,58.3,211.853,5.1,61.4801,,
May-23,4157.36,3948.361,58.4,208.999,5,61.5287,,
Jun-23,4156.234,3948.104,58.5,208.13,5,61.5401,,
Jul-23,4153.537,3943.933,58.4,209.604,5,61.5287,,
Aug-23,4151.012,3937.94,58.4,213.072,5.1,61.5171,,
Sep-23,4150.225,3932.826,58.3,217.399,5.2,61.5307,,
Oct-23,4152.331,3931.225,58.3,221.106,5.3,61.5877,,
Nov-23,4157.133,3935.126,58.4,222.007,5.3,61.6873,,
Dec-23,4163.161,3941.368,58.5,221.793,5.3,61.8024,,
Jan-24,4161.783,3945.554,58.6,216.229,5.2,61.8052,,
Feb-24,4165.463,3954.582,58.8,210.881,5.1,61.8895,,
Mar-24,4171.144,3966.576,59,204.568,4.9,62.001,,
Apr-24,4179.122,3978.6,59.2,200.522,4.8,62.1442,,
May-24,4185.144,3984.243,59.3,200.901,4.8,62.2612,,
Jun-24,4195.404,3992.128,59.4,203.276,4.8,62.441,,
Jul-24,4203.424,3992.082,59.4,211.342,5,62.588,,
Aug-24,4211.042,3991.882,59.5,219.16,5.2,62.7307,,
Sep-24,4212.091,3987.903,59.4,224.188,5.3,62.7755,,
Oct-24,4207.768,3981.908,59.4,225.86,5.4,62.7403,,
Nov-24,4201.958,3973.168,59.3,228.79,5.4,62.6856,,
Dec-24,4195.839,3966.977,59.2,228.862,5.5,62.6235,,-412.6656887
